Dataset,Model,Decode_Mode,Num_Samples,BLEU,METEOR,PERPLEXITY,REP_W,REP_N_1,REP_N_2,REP_N_3,REP_N_4,REP_N_5,REP_R
EQ,GPT-2,penalty,500,0.0,0.0,4.10192781708113,0.20891465983286991,0.49032404196943297,0.2292424889324858,0.11464140289390942,0.055866827851024425,0.025509853768840404,0.5001036969889661
EQ,GPT-2,greedy,500,0.0,0.0,1.5710979171540949,0.41590120340216563,0.7555263303046279,0.7008695812885333,0.6792130927763737,0.6656509873614148,0.6547462702911452,0.8299325521942879
EQ,Gemma-2-2B,greedy,500,0.0,0.0,1.3717067720199252,0.27790700524410855,0.531078341878256,0.40232257388414117,0.36719239341275295,0.35002125192007355,0.33768219223310064,0.5434615796853989
EQ,GPT-2,neuron_penalty,500,0.0,0.0,4.433458169142553,0.19244465320087584,0.4383057447433435,0.18612636380142708,0.08374925107334985,0.03496478069957928,0.012644110946937091,0.42254587489598583
EQ,GPT-2,sae_penalty,500,0.0,0.0,5.852833349456179,0.16810222100834035,0.4488706483604289,0.17476446758403275,0.07119462126746805,0.02812644869186939,0.010035588581285167,0.41592299028581275
EQ,Gemma-2-2B,penalty,500,0.0,0.0,2.4421271787342995,0.15234244652999449,0.37451402105407083,0.1347967481935396,0.05686548576333841,0.02237391540806489,0.007770567961240464,0.32352804154874876
EQ,GPT-2,neuron,500,0.0,0.0,3.8217142272576967,0.2555845576047848,0.5086312619502384,0.30977291962365666,0.21925368730202352,0.16373990520380555,0.1261548018417971,0.5415667749580447
EQ,Gemma-2-2B,neuron_penalty,500,0.0,0.0,2.759170335378929,0.24128627705457853,0.42927380077567107,0.19253401021962302,0.08924111648930172,0.03734595447125117,0.014686732687996407,0.40458674396862454
EQ,Gemma-2-2B,sae_penalty,500,0.0,0.0,2.4652077018388012,0.15603025836433562,0.3916978027066777,0.1468400007465376,0.062190567552437494,0.02491619397193235,0.00909246896081817,0.353898800935538
EQ,Gemma-2-2B,neuron,500,0.0,0.0,2.339093653134816,0.30957934120310454,0.4990150498385952,0.3041862806485311,0.21671343095630524,0.1618648340888012,0.12433422508486014,0.5084851697620064
