Dataset,Model,Decode_Mode,Num_Samples,BLEU,METEOR,PERPLEXITY,REP_W,REP_N_1,REP_N_2,REP_N_3,REP_N_4,REP_N_5,REP_R
EQ,GPT-2,penalty,500,0.0,0.0,4.10192781708113,0.20891465983286991,0.49032404196943297,0.2292424889324858,0.11464140289390942,0.055866827851024425,0.025509853768840404,0.5001036969889661
EQ,GPT-2,neuron_penalty,500,0.0,0.0,4.433458169142553,0.19244465320087584,0.4383057447433435,0.18612636380142708,0.08374925107334985,0.03496478069957928,0.012644110946937091,0.42254587489598583
EQ,GPT-2,sae_penalty,500,0.0,0.0,5.852833349456179,0.16810222100834035,0.4488706483604289,0.17476446758403275,0.07119462126746805,0.02812644869186939,0.010035588581285167,0.41592299028581275
EQ,Gemma-2-2B,penalty,500,0.0,0.0,2.4421271787342995,0.15234244652999449,0.37451402105407083,0.1347967481935396,0.05686548576333841,0.02237391540806489,0.007770567961240464,0.32352804154874876
EQ,GPT-2,topp,500,0.0,0.0,1.9291023929067004,0.39131046971462685,0.6871993621733282,0.6084039756925359,0.5760162128959816,0.5557213926087579,0.5400172723409827,0.7538201791871977
EQ,GPT-2,neuron,500,0.0,0.0,3.8217142272576967,0.2555845576047848,0.5086312619502384,0.30977291962365666,0.21925368730202352,0.16373990520380555,0.1261548018417971,0.5415667749580447
EQ,Gemma-2-2B,topp,500,0.0,0.0,1.5366049457346938,0.25255660184021306,0.4896643828737469,0.35179681140060387,0.3131586550271298,0.29215307074607016,0.2766443969959933,0.5005574705092202
EQ,Gemma-2-2B,sae,500,0.0,0.0,1.785262686137001,0.23130122290030763,0.4736630332648548,0.3114992746533438,0.2621685132790119,0.2341866713615162,0.21444858771921754,0.4743891350724001
EQ,Gemma-2-2B,neuron_penalty,500,0.0,0.0,2.759170335378929,0.24128627705457853,0.42927380077567107,0.19253401021962302,0.08924111648930172,0.03734595447125117,0.014686732687996407,0.40458674396862454
EQ,Gemma-2-2B,sae_penalty,500,0.0,0.0,2.463020714880833,0.15912342060268883,0.39354709550970646,0.15072436458112623,0.06678862542195653,0.02783160747115566,0.010261815792727662,0.3559813297791408
EQ,GPT-2,sae,500,0.0,0.0,5.013994202483991,0.241639015762553,0.5121971190341447,0.3129003849906871,0.24516512029950852,0.21211748414825393,0.19014463034025367,0.5168244628073555
EQ,Gemma-2-2B,neuron,500,0.0,0.0,2.339093653134816,0.30957934120310454,0.4990150498385952,0.3041862806485311,0.21671343095630524,0.1618648340888012,0.12433422508486014,0.5084851697620064
IWSLT,GPT-2,penalty,1000,0.580198090547007,0.0875078533816713,3.9357219388607647,0.299893931499965,0.5982009167085738,0.3228193029359573,0.1618092538938688,0.07690291650572226,0.034282693136180244,0.6641256608188223
IWSLT,GPT-2,neuron_penalty,1000,0.593747857237658,0.1074243062662723,4.644574335402919,0.2303593518074362,0.4760972468726771,0.20732968073075891,0.08909753231976297,0.03655207071474664,0.013190983664284792,0.46761874610594617
IWSLT,GPT-2,sae_penalty,1000,0.5828950492625011,0.1066973075577566,5.47598286940974,0.23286575785564317,0.5644415462539395,0.270836207735316,0.12398400318219831,0.05266154356113678,0.02003890971139786,0.5952043805133341
IWSLT,Gemma-2-2B,penalty,1000,2.474788210097809,0.19200370860535462,2.9707595301967484,0.15087725801090182,0.4141032732362768,0.19951466915214167,0.10526712888820507,0.05129192840964081,0.02187864656525204,0.44231717614006333
IWSLT,GPT-2,topp,1000,0.4891341099619838,0.06183968840318955,1.5888275744961935,0.4796557621084246,0.78451664939417,0.7312774360067205,0.7065650857424389,0.6887899996789513,0.6733002593557017,0.9072062254505006
IWSLT,GPT-2,neuron,1000,0.5762921046372295,0.10034955873199476,3.732169596645413,0.292007685250861,0.5491279389190789,0.3497358837373354,0.2454106987840221,0.17818307843375128,0.1317867285203125,0.5998518255077604
IWSLT,Gemma-2-2B,topp,1000,2.0715255226749583,0.15506164652797513,1.4626033503562414,0.28533664445184515,0.6794972001590474,0.6113392183114882,0.5861711522774408,0.5684757760925383,0.5533184956639,0.7792717983232587
IWSLT,Gemma-2-2B,sae,1000,1.6244509647759513,0.1693006657837742,1.8870428003261717,0.21156313086882364,0.5521612567975158,0.43422149477940464,0.39647189828982043,0.3717513200708743,0.352423671589697,0.6314627044535368
IWSLT,Gemma-2-2B,neuron_penalty,1000,1.4090663765499998,0.15502654290172585,3.0232918090577936,0.24364141552312624,0.43585758270091257,0.22027177748834997,0.12276545858023744,0.06228855624322167,0.028163831649045904,0.4215088886326152
IWSLT,Gemma-2-2B,sae_penalty,1000,2.5033264710406535,0.1906772241920415,2.9937734742667184,0.14566276425455824,0.416216870359531,0.2042151127744237,0.10946059683441767,0.05362670316852248,0.023085163612430654,0.4491113452066846
IWSLT,GPT-2,sae,1000,0.5254056825102785,0.11300155358874077,4.271727247355611,0.2553557435419966,0.5482201394398364,0.37256321473608045,0.3063651446601189,0.27005096996822925,0.24408312131453994,0.5814747079954152
IWSLT,Gemma-2-2B,neuron,1000,1.4628290621166422,0.15567072004104804,2.4293732524475633,0.27706160710074373,0.48851644409707595,0.3176317734746313,0.24629075842615517,0.1978981404240226,0.1615160414547773,0.5077133430774615
NQ,GPT-2,penalty,1000,1.7874575027329198,0.15980512650154968,3.854955763451638,0.2565323726127419,0.5787081438465117,0.3088818971886783,0.16705579394453074,0.08512844539118145,0.03880307834742086,0.6296921506708845
NQ,GPT-2,neuron_penalty,1000,1.7110401462144764,0.1676950079253747,4.077139665287245,0.21254905692630738,0.5136595954399321,0.23707289243319332,0.11066172849585511,0.048023652517931524,0.01824897703710194,0.5275836018769613
NQ,GPT-2,sae_penalty,1000,1.5083141331903638,0.1566513230415552,5.4844495105604105,0.21030640273610846,0.524632167193807,0.2215907815565435,0.09319714012848067,0.03575211028392314,0.011483746015803025,0.5139337769094666
NQ,Gemma-2-2B,penalty,1000,2.2674839497188075,0.162803578942797,2.7739058338041245,0.18788609644278984,0.47177642197308284,0.20123739860013773,0.08746055340808181,0.03434784247074271,0.012349768872427423,0.46116124694772226
NQ,GPT-2,topp,1000,1.3241158328914262,0.1270408146162245,1.7605382868780473,0.42027861283612494,0.7985904027675957,0.7275488217774452,0.6953713962830094,0.672490952380291,0.6537277240635104,0.8955655929473837
NQ,GPT-2,neuron,1000,1.5129240533433423,0.15339114030879064,3.263213189996504,0.283126331073259,0.6029004412665594,0.4006743128221906,0.29838581762504907,0.23195938170205194,0.18371890371648775,0.6717101334135698
NQ,Gemma-2-2B,topp,1000,1.4909796016507155,0.13084267289255005,1.4337281198720464,0.2541196492213578,0.7134008346613591,0.6202029693706822,0.5859426561412356,0.5651145063442377,0.5498928093603085,0.7881718107690424
NQ,Gemma-2-2B,sae,1000,1.8401159030187,0.15644865633406868,1.7725435794116289,0.2334627146020096,0.6181435613877792,0.47675184950743393,0.4225891399265109,0.3898178604568787,0.36594394327603924,0.6661548913606169
NQ,Gemma-2-2B,neuron_penalty,1000,1.4598358879896132,0.14146942447064487,2.7778871298599848,0.26846146007416594,0.5029043226064164,0.244968052310897,0.11788047462416489,0.05038785205599014,0.019558866724557224,0.49708962824888964
NQ,Gemma-2-2B,sae_penalty,1000,2.2702488887281747,0.1616424913136497,2.7408835013567368,0.19680418669977934,0.4805357970126366,0.21055546934457753,0.09399475020648192,0.037783282925341555,0.01406605840736902,0.4770172579034654
NQ,GPT-2,sae,1000,1.4600664145698898,0.16775560604519257,4.974101932703898,0.2305265119022114,0.535607624786864,0.3091661023794938,0.2244568942400991,0.1816748234370525,0.15388978545352813,0.5483179869364718
NQ,Gemma-2-2B,neuron,1000,1.4419819649131607,0.13935946879619396,2.345168279080705,0.30748454581217605,0.5515558825812021,0.3466652557947129,0.24760663162738047,0.18410547564072424,0.13993489728615352,0.5825078902174616
